Comment,Designator,Footprint,LCSC,Quantity
1kΩ,"R14,R28",R_0402,C11702,2
ESD9X3.3ST5G,D4,SOD-923_L0.8-W0.6-LS1.0-RD,C130456,1
10nF,"C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C61,C72,C73",C_0402,C15195,16
TLV62569DRLR,"U10,U11",SOT-563_L1.6-W1.2-P0.50-LS1.6-BL,C163217,2
RC0402FR-071K8L,R27,R0402,C163481,1
0Ω,"R23,R24,R25",R_0402,C17168,3
0Ω,"R38,R39",R_0603,C21189,2
White,D9,D_0603,C2290,1
360kΩ,R19,R_0603,C23146,1
750kΩ,R6,R_0603,C23240,1
82kΩ,R22,R_0603,C23254,1
100Ω,R26,R_0402,C25076,1
33Ω,"R44,R45,R46",R_0402,C25105,3
51Ω,"R29,R30",R_0402,C25125,2
1Ω,"R31,R32,R33,R34",R_0805,C25271,4
X1E0000210295,X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,C255930,1
100kΩ,R21,R_0402,C25741,1
10kΩ,"R10,R20,R35,R41,R42,R43",R_0402,C25744,6
120kΩ,R18,R_0402,C25750,1
150kΩ,R5,R_0402,C25755,1
200kΩ,R1,R_0402,C25764,1
4.7kΩ,"R11,R13,R15,R16,R17,R3,R4,R40,R7,R8,R9",R_0402,C25900,11
MAX1304ECM+T,U6,TQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,C2670670,1
GT-USB-7018,USB1,TYPE-C-SMD_GT-USB-7018,C2762978,1
1uF,"C4,C81,C90",C_0805,C28323,3
CH569W,U1,QFN-68_L8.0-W8.0-P0.40-BL-EP5.5,C2857462,1
HD3SS3220IRNHT,U2,WQFN-30_L4.5-W2.5-P0.4-BL-EP,C2876685,1
DIP Switch x 2,S1,SW-SMD_218-2LPSTRF,C2961921,1
4.7uF,"C100,C101,C102,C103,C104,C105,C106,C107,C108,C3,C5,C79,C80,C82,C83,C84,C85,C86,C87,C88,C89,C95,C96,C97,C98,C99",C_1206,C29823,26
Green,D7,D_0603,C2986059,1
6pF,C117,C_0402,C30274,1
100nF,"C10,C109,C11,C110,C111,C112,C113,C114,C115,C116,C118,C119,C12,C120,C121,C122,C123,C124,C125,C126,C127,C128,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C60,C62,C63,C64,C65,C67,C68,C69,C70,C74,C75,C76,C77,C78,C8,C9,C92",C_0402,C307331,73
"Tactile Button, 160gf",S2,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,C318884,1
10pF,"C6,C7,C93,C94",C_0402,C32949,4
2kΩ,"R36,R37",R_0402,C4109,2
TPD1S414YZR,U3,DSBGA-12_L1.9-W1.4-R3-C4-P0.40-TL,C411873,1
ZX-PM1.0-2-20PU-W,H1,HDR-SMD_40P-P1.00-V-F-R2-C20-LS3.8,C41369836,1
LM3880MF-1AA/NOPB,U13,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,C486059,1
2.2uF,"C1,C2,C66,C71,C91",C_1206,C50254,5
CR2512J1R220G,R12,R2512,C5381546,1
PMEG6010AESBYL,"D5,D6",X1SON-2_L1.0-W0.6-P0.65-RD,C552929,2
BLM15EX331SN1D,L1,L0402,C596498,1
NCP115CMX250TCG,U9,XDFN-4_L1.0-W1.0-P0.65-BL-EP,C603508,1
ESD8004MUTAG,"D1,D2,D3",UDFN-10_L2.5-W1.0-P0.50-BL,C605399,3
EPC21603,U12,BGA-6_L1.5-W1.0-P0.50-TL,C6191277,1
TPIC2010RDFDRG4,U8,HTSSOP-56_L14.0-W6.0-P0.50-LS8.1-BL-EP,C702134,1
MAX40025CAWT+T,U5,WLP-6_L1.2-W0.8-R2-C3-P0.40-TL_MAX40111ANT,C7451830,1
2N7002,"Q1,Q2",Q_SOT-23,C8545,2
LQM21PN2R2NGCD,"L2,L3",L0805,C86089,2
TestPoint,TP11,TestPoint_Pad_D1.0mm,,1
LMK3H0102A014RERT,U7,TQFN16_RER_TEX,,1
TestPoint,TP6,TestPoint_Pad_D1.0mm,,1
TestPoint,TP8,TestPoint_Pad_D1.0mm,,1
TestPoint,TP10,TestPoint_Pad_D1.0mm,,1
TestPoint,TP7,TestPoint_Pad_D1.0mm,,1
TestPoint,TP9,TestPoint_Pad_D1.0mm,,1
LFE5U-25F-8MG285C,U4,csBGA285,,1
TestPoint,TP1,TestPoint_Pad_D1.0mm,,1
TestPoint,TP5,TestPoint_Pad_D1.0mm,,1
TestPoint,TP4,TestPoint_Pad_D1.0mm,,1
TestPoint,TP2,TestPoint_Pad_D1.0mm,,1
TestPoint,TP3,TestPoint_Pad_D1.0mm,,1
