Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2uF,C_1206,56.003117,-122.903874,0.0,bottom
C10,100nF,C_0402,49.445165,-126.565867,180.0,top
C100,4.7uF,C_1206,65.392995,-142.765868,0.0,top
C101,4.7uF,C_1206,65.816201,-146.165866,180.0,bottom
C102,4.7uF,C_1206,65.8134,-146.165151,0.0,top
C103,4.7uF,C_1206,57.993626,-140.773664,90.0,bottom
C104,4.7uF,C_1206,60.393626,-140.773664,90.0,bottom
C105,4.7uF,C_1206,62.352628,-148.098123,270.0,bottom
C106,4.7uF,C_1206,60.045164,-148.083194,270.0,bottom
C107,4.7uF,C_1206,57.645165,-148.085867,-90.0,top
C108,4.7uF,C_1206,60.045165,-148.085867,-90.0,top
C109,100nF,C_0402,42.352085,-157.115346,180.0,top
C11,100nF,C_0402,49.448165,-126.876667,90.0,bottom
C110,100nF,C_0402,42.352085,-156.283039,180.0,top
C111,100nF,C_0402,40.756129,-143.849694,-45.0,top
C112,100nF,C_0402,40.15043,-144.480629,-45.0,top
C113,100nF,C_0402,51.435439,-160.04144,90.0,bottom
C114,100nF,C_0402,49.897246,-159.554507,180.0,bottom
C115,100nF,C_0402,47.005165,-163.158153,-90.0,top
C116,100nF,C_0402,46.20793,-163.150867,-90.0,top
C117,6pF,C_0402,49.905165,-159.550867,0.0,top
C118,100nF,C_0402,45.723042,-165.771867,90.0,bottom
C119,100nF,C_0402,45.682054,-160.378586,270.0,bottom
C12,100nF,C_0402,50.260965,-126.876667,90.0,bottom
C120,100nF,C_0402,46.527282,-160.375671,270.0,bottom
C121,100nF,C_0402,46.523041,-165.771867,90.0,bottom
C122,100nF,C_0402,45.698765,-163.974818,270.0,bottom
C123,100nF,C_0402,46.510321,-163.978587,270.0,bottom
C124,100nF,C_0402,46.508765,-162.178587,90.0,bottom
C125,100nF,C_0402,45.698765,-162.178587,90.0,bottom
C126,100nF,C_0402,48.122453,-156.817825,-90.0,top
C127,100nF,C_0402,48.956325,-156.813827,-90.0,top
C128,100nF,C_0402,41.013905,-141.874847,0.0,bottom
C13,100nF,C_0402,52.902565,-119.561467,90.0,top
C14,100nF,C_0402,53.715365,-119.561467,90.0,top
C15,100nF,C_0402,47.212965,-119.561467,90.0,top
C16,100nF,C_0402,46.400165,-119.561467,90.0,top
C17,100nF,C_0402,49.6,-115.8,-90.0,top
C18,100nF,C_0402,52.020071,-115.755614,-90.0,top
C19,100nF,C_0402,56.970822,-112.868081,-90.0,top
C2,2.2uF,C_1206,56.0,-125.2,0.0,bottom
